Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP,Orchestrator
ldod-static,VirtualEditionController.reorderVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.019608,1.000000,0.019139,0.408052,1.078938,0.009722,0.004926,1
ldod-static,VirtualEditionController.reorderVirtualEdition,1,0.617021,0.382979,0.510870,0.489130,0.460784,0.489362,0.440191,0.487888,1.055982,0.567918,0.562472,0
ldod-static,RecommendationController.saveLinearVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.274510,0.857143,0.247706,0.298643,0.944544,0.141606,0.297229,0
ldod-static,RecommendationController.saveLinearVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.039216,1.000000,0.036697,2.484932,0.979527,0.012670,0.012594,0
ldod-static,RecommendationController.saveLinearVirtualEdition,0,0.823529,0.176471,0.358491,0.641509,0.166667,0.823529,0.243119,0.789219,1.526910,0.226570,0.138539,0
ldod-static,RecommendationController.saveLinearVirtualEdition,1,0.860465,0.139535,0.322581,0.677419,0.421569,0.744186,0.426605,0.210096,1.059256,0.509223,0.460327,0
ldod-static,RecommendationController.saveLinearVirtualEdition,2,1.000000,0.000000,0.000000,1.000000,0.098039,1.000000,0.045872,1.217109,0.489763,0.109931,0.000000,1
ldod-static,VirtualEditionController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.823529,0.174061,0.892584,1.494071,0.177555,0.087179,0
ldod-static,VirtualEditionController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.833333,0.276451,0.252040,0.960474,0.157916,0.316667,0
ldod-static,VirtualEditionController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,1.000000,0.061433,0.799100,0.498024,0.131730,0.017949,0
ldod-static,VirtualEditionController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,1.000000,0.034130,2.902713,0.996047,0.010421,0.011538,1
ldod-static,VirtualEditionController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.746032,0.453925,0.153563,1.051383,0.522378,0.482906,0
ldod-static,AdminController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.823529,0.174061,0.892584,1.494071,0.179973,0.089749,0
ldod-static,AdminController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.833333,0.276451,0.252040,0.960474,0.154263,0.311483,0
ldod-static,AdminController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,1.000000,0.061433,0.799100,0.498024,0.133424,0.018478,0
ldod-static,AdminController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,1.000000,0.034130,2.902713,0.996047,0.010555,0.011879,1
ldod-static,AdminController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.746032,0.453925,0.153563,1.051383,0.521786,0.482182,0
